node_id	label	community_cid	community_label	source_file	source_url
awesomedata__awesome-public-datasets_repo	awesomedata/awesome-public-datasets	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
awesomedata__awesome-public-datasets_opendata	Open Datasets Collection	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
awesomedata__awesome-public-datasets_topic_datasets	Topic: datasets	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
awesomedata__awesome-public-datasets_topic_opendata	Topic: opendata	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
msitarzewski__agency-agents_repo	msitarzewski/agency-agents	6	🎭 swarms &amp; teams	openclaw/spellbook-homework/msitarzewski__agency-agents.md	
msitarzewski__agency-agents_concept_ai_agency	AI Agency (Multi-Role Agent System)	6	🎭 swarms &amp; teams	openclaw/spellbook-homework/msitarzewski__agency-agents.md	
msitarzewski__agency-agents_concept_frontend_wizard	Frontend Wizard Agent	6	🎭 swarms &amp; teams	openclaw/spellbook-homework/msitarzewski__agency-agents.md	
msitarzewski__agency-agents_concept_shell	Shell Language	6	🎭 swarms &amp; teams	openclaw/spellbook-homework/msitarzewski__agency-agents.md	
nicedreamzapp__claude-code-local_repo	nicedreamzapp/claude-code-local	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp__claude-code-local_concept_local_ai	Local AI on Apple Silicon	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp__claude-code-local_concept_claude_code	Claude Code	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp__claude-code-local_concept_google_turboquant	Google TurboQuant	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp__claude-code-local_concept_python	Python Language	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
phiat__claude-esp_repo	phiat/claude-esp	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
phiat__claude-esp_concept_stream_output	Real-time Claude Code Output Streaming	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
phiat__claude-esp_concept_tui	TUI (Terminal UI)	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
phiat__claude-esp_concept_go	Go Language	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
concept_nickarchuleta	nickarchuleta (GitHub User)	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
concept_spellbook_stub	Spellbook Stub (Graphify Placeholder)	3	📂 living files on disk · caveman · 3	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
concept_apple_silicon	Apple Silicon	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept_subagents	Claude Code Subagents	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
concept_tool_calls	Tool Calls (AI Agent)	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
awesomeaitools_curated_ai_coding_tools	awesome-ai-tools/curated-ai-coding-tools	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_ai_coding_tools_topic	AI Coding Tools (Curated List)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_topic_aider	Aider (AI Coding Tool)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_topic_cursor	Cursor (AI IDE)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_topic_copilot	GitHub Copilot	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_topic_claude_code	Claude Code (AI Coding Tool)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
storybookjs_addon_designs	storybookjs/addon-designs	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/storybookjs__addon-designs.md	
storybookjs_storybook	Storybook	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/storybookjs__addon-designs.md	
storybookjs_figma	Figma	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/storybookjs__addon-designs.md	
storybookjs_addon_designs_typescript	TypeScript	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/storybookjs__addon-designs.md	
anthropics_claude_quickstarts	anthropics/claude-quickstarts	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_claude_api	Claude API	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_customer_support_agent	Customer Support Agent Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_financial_data_analyst	Financial Data Analyst Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_computer_use_demo	Computer Use Demo Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_browser_tools_api_demo	Browser Tools API Demo Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_autonomous_coding_agent	Autonomous Coding Agent Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_claude_agent_sdk	Claude Agent SDK	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_claude_cookbooks	Claude Cookbooks	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_claude_code_repo	anthropics/claude-code	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/anthropics__claude-code.md	
anthropics_claude_code_concept	Claude Code (Agentic Terminal Tool)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/anthropics__claude-code.md	
nickarchuleta_spellbook	nickarchuleta GitHub Spellbook	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
playwright_browser_automation	Playwright (Browser Automation)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
docling_docling	Docling (IBM Research Document Parser)	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_doclingdocument	DoclingDocument (Unified IR)	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_layoutmodel	DiT Layout Model	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_tableformer	TableFormer Table Structure Model	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_ocrlayer	OCR Layer (EasyOCR / Tesseract)	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_llamaindex_integration	LlamaIndex DoclingReader Integration	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_langchain_integration	LangChain DoclingLoader Integration	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_llm_ingestion	LLM Document Ingestion Preprocessor	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
qodoskills_qodoskills	Qodo Skills (qodo-ai)	0	🖥️ This Mac	openclaw/spellbook-homework/qodo-ai__qodo-skills.md	
goose_goose	Goose AI Agent (AAIF / Block)	0	🖥️ This Mac	openclaw/spellbook-homework/aaif-goose__goose.md	
goose_acp	ACP Agent Communication Protocol	0	🖥️ This Mac	openclaw/spellbook-homework/aaif-goose__goose.md	
goose_mcp_integration	Goose MCP Extension Ecosystem (70+ extensions)	0	🖥️ This Mac	openclaw/spellbook-homework/aaif-goose__goose.md	
goose_multiProvider	Goose Multi-Provider LLM Gateway	0	🖥️ This Mac	openclaw/spellbook-homework/aaif-goose__goose.md	
goose_tauriDesktop	Goose Tauri Desktop App	0	🖥️ This Mac	openclaw/spellbook-homework/aaif-goose__goose.md	
deeplivecam_deeplivecam	Deep-Live-Cam (Real-time Face Swap)	11	🌐 Misc Tools &amp; Wildcards · deepfake · 11	openclaw/spellbook-homework/hacksider__Deep-Live-Cam.md	
deeplivecam_insightface	InsightFace / RetinaFace ONNX Models	11	🌐 Misc Tools &amp; Wildcards · deepfake · 11	openclaw/spellbook-homework/hacksider__Deep-Live-Cam.md	
deeplivecam_inswapper	inswapper_128 ONNX Face Swap Model	11	🌐 Misc Tools &amp; Wildcards · deepfake · 11	openclaw/spellbook-homework/hacksider__Deep-Live-Cam.md	
deeplivecam_gfpgan	GFPGAN / CodeFormer Face Enhancer	11	🌐 Misc Tools &amp; Wildcards · deepfake · 11	openclaw/spellbook-homework/hacksider__Deep-Live-Cam.md	
deeplivecam_onnxruntime	ONNX Runtime (CPU/GPU/CoreML/DirectML)	11	🌐 Misc Tools &amp; Wildcards · deepfake · 11	openclaw/spellbook-homework/hacksider__Deep-Live-Cam.md	
archon_archon	Archon AI Coding Workflow Engine	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
archon_yamlWorkflow	Archon YAML Workflow Definition	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
archon_orchestrator	Archon Orchestrator (Message Routing & Context Management)	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
archon_workflowExecutor	Archon Workflow Executor	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
archon_platformAdapters	Archon Platform Adapters (Web, CLI, Telegram, Slack, Discord, GitHub)	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
archon_sqlitePostgres	Archon SQLite / PostgreSQL Data Store	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
archon_claudeCode	Claude Code (AI Assistant in Archon)	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
archon_gitWorktree	Git Worktree Isolation (Archon)	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
nicedream_claudecodelocal	claude-code-local (Run Claude Code Locally on Apple Silicon)	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
ligobio_alphafold3	AlphaFold3 Open-Source (Ligo Biosciences)	0	🖥️ This Mac	openclaw/spellbook-homework/Ligo-Biosciences__AlphaFold3.md	
supervision_supervision	Roboflow Supervision (CV Post-Processing Toolkit)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/roboflow__supervision.md	
supervision_detections	Supervision Detections Data Class	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/roboflow__supervision.md	
supervision_bytetrack	ByteTrack / SORT Multi-Object Tracker	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/roboflow__supervision.md	
supervision_sahi	SAHI Sliced Inference Integration	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/roboflow__supervision.md	
supervision_yolo	YOLO (Ultralytics) Model Integration	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/roboflow__supervision.md	
deeptutor_deeptutor	DeepTutor Agent-Native Personalized Tutoring (HKUDS)	0	🖥️ This Mac	openclaw/spellbook-homework/hkuds__deeptutor.md	
deeptutor_tutorbot	DeepTutor TutorBot (Persistent Autonomous AI Tutor)	0	🖥️ This Mac	openclaw/spellbook-homework/hkuds__deeptutor.md	
deeptutor_pluginmodel	DeepTutor Two-Layer Plugin Model (Tools + Capabilities)	0	🖥️ This Mac	openclaw/spellbook-homework/hkuds__deeptutor.md	
concept_mcp	Model Context Protocol (MCP)	0	🖥️ This Mac	openclaw/spellbook-homework/aaif-goose__goose.md	
concept_llamaindex	LlamaIndex	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
concept_langchain	LangChain	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
concept_rag	Retrieval-Augmented Generation (RAG)	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
concept_multiagent_orchestration	Multi-Agent Orchestration	0	🖥️ This Mac	openclaw/spellbook-homework/aaif-goose__goose.md	
concept_yaml_workflow	YAML-Defined AI Workflow	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
concept_computer_vision	Computer Vision Post-Processing	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/roboflow__supervision.md	
concept_protein_structure	Protein Structure Prediction	0	🖥️ This Mac	openclaw/spellbook-homework/Ligo-Biosciences__AlphaFold3.md	
concept_local_llm	Local LLM Inference (Apple Silicon)	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept_deepfake	Deepfake / AI Face Swap Technology	11	🌐 Misc Tools &amp; Wildcards · deepfake · 11	openclaw/spellbook-homework/hacksider__Deep-Live-Cam.md	
concept_document_parsing	Document Parsing and Conversion	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
concept_ai_coding_agent	AI Coding Agent / Autonomous Dev Workflow	0	🖥️ This Mac	openclaw/spellbook-homework/coleam00__archon.md	
louisho5_picobot	louisho5/picobot	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/louisho5__picobot.md	
louisho5_picobot_go	Go (Language)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/louisho5__picobot.md	
louisho5_picobot_selfhosted_bot	Self-hosted Bot (Single Binary)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/louisho5__picobot.md	
sharpai_swiftlm	SharpAI/SwiftLM	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/SharpAI__SwiftLM.md	
sharpai_swiftlm_swift	Swift (Language)	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/SharpAI__SwiftLM.md	
sharpai_swiftlm_mlx	MLX (Apple ML Framework)	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/SharpAI__SwiftLM.md	
sharpai_swiftlm_apple_silicon	Apple Silicon	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/SharpAI__SwiftLM.md	
sharpai_swiftlm_openai_api	OpenAI-Compatible API	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/SharpAI__SwiftLM.md	
sharpai_swiftlm_turboquant	TurboQuant KV Cache Compression	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/SharpAI__SwiftLM.md	
sharpai_swiftlm_moe	Mixture of Experts (MoE) Models	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/SharpAI__SwiftLM.md	
sharpai_swiftlm_on_device_ai	On-Device AI Inference	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/SharpAI__SwiftLM.md	
browseruse_browseruse	browser-use/browser-use	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_chromium_cdp	Chromium CDP (Chrome DevTools Protocol)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_playwright	Playwright (Browser Automation)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_mcp_integration	MCP Server Integration	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_pydantic_v2	Pydantic v2 Schema Validation	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_agent_loop	LLM Agent Loop (task→LLM→action→observe)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_skills_system	Browser-Use Skills System	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_cloud_browser	Browser Use Cloud (Stealth Remote Browser)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_bu_bench	BU Bench V1 (100-task Benchmark)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_anthropic	Anthropic API (Claude)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_openai	OpenAI API	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_google_gemini	Google Gemini API	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_openrouter	OpenRouter API	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
browseruse_dom_parsing	DOM Parsing and Accessibility Tree	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
nicedreamzapp_claude_code_local	nicedreamzapp/claude-code-local	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp_claude_code_local_apple_silicon	Apple Silicon (Local AI Inference)	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp_claude_code_local_turboquant	Google TurboQuant (122B Model Quantization)	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept_llm_inference_server	LLM Inference Server	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/SharpAI__SwiftLM.md	
concept_browser_automation	Browser Automation for AI Agents	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/browser-use__browser-use.md	
concept_local_ai_no_cloud	Local AI (No Cloud, No API Fees)	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
oh_my_codex_repo	Yeachan-Heo/oh-my-codex	8	🔥 harnesses &amp; CLIs · codex · 8	openclaw/spellbook-homework/Yeachan-Heo__oh-my-codex.md	
oh_my_codex_omx	OmX - Oh My codeX	8	🔥 harnesses &amp; CLIs · codex · 8	openclaw/spellbook-homework/Yeachan-Heo__oh-my-codex.md	
oh_my_codex_hooks	Codex Hooks System	8	🔥 harnesses &amp; CLIs · codex · 8	openclaw/spellbook-homework/Yeachan-Heo__oh-my-codex.md	
oh_my_codex_agent_teams	Agent Teams for Codex	8	🔥 harnesses &amp; CLIs · codex · 8	openclaw/spellbook-homework/Yeachan-Heo__oh-my-codex.md	
oh_my_codex_huds	HUDs for Codex	8	🔥 harnesses &amp; CLIs · codex · 8	openclaw/spellbook-homework/Yeachan-Heo__oh-my-codex.md	
caveman_repo	JuliusBrussee/caveman	3	📂 living files on disk · caveman · 3	openclaw/spellbook-homework/JuliusBrussee__caveman.md	
caveman_token_compression	Caveman Token Compression (65% reduction)	3	📂 living files on disk · caveman · 3	openclaw/spellbook-homework/JuliusBrussee__caveman.md	
caveman_claude_code_skill	Caveman Claude Code Skill	3	📂 living files on disk · caveman · 3	openclaw/spellbook-homework/JuliusBrussee__caveman.md	
caveman_prompt_engineering	Caveman Prompt Engineering Style	3	📂 living files on disk · caveman · 3	openclaw/spellbook-homework/JuliusBrussee__caveman.md	
nicedreamzapp_claude_code_local_repo	nicedreamzapp/claude-code-local	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
claude_code_local_apple_silicon	Claude Code on Apple Silicon Local AI	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
claude_code_local_122b_model	122B Local Model at 41 tok/s	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
claude_code_local_turboquant	Google TurboQuant Quantization	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept_claude_code	Claude Code	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/anthropics__claude-code.md	
concept_llm	Large Language Model (LLM)	3	📂 living files on disk · caveman · 3	openclaw/spellbook-homework/JuliusBrussee__caveman.md	
concept_anthropic	Anthropic	3	📂 living files on disk · caveman · 3	openclaw/spellbook-homework/JuliusBrussee__caveman.md	
concept_token_efficiency	Token Efficiency	3	📂 living files on disk · caveman · 3	openclaw/spellbook-homework/JuliusBrussee__caveman.md	
concept_local_ai	Local AI (No Cloud)	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept_codex	OpenAI Codex	8	🔥 harnesses &amp; CLIs · codex · 8	openclaw/spellbook-homework/Yeachan-Heo__oh-my-codex.md	
nickarchuleta_user	nickarchuleta (GitHub user)	8	🔥 harnesses &amp; CLIs · codex · 8	openclaw/spellbook-homework/Yeachan-Heo__oh-my-codex.md	
gongxings__kemeng_ai_anime_creation	Kemeng AI Anime Creation	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/gongxings__kemeng-ai-anime-creation.md	
openhands__software_agent_sdk	OpenHands Software Agent SDK	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/OpenHands__software-agent-sdk.md	
nicedreamzapp__claude_code_local	Claude Code Local (Apple Silicon)	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept__ai_video_creation	AI Video Creation	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/gongxings__kemeng-ai-anime-creation.md	
concept__digital_studio	Local Digital Studio	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/gongxings__kemeng-ai-anime-creation.md	
concept__ai_agent_sdk	AI Agent SDK	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/OpenHands__software-agent-sdk.md	
concept__modular_sdk	Modular SDK Design	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/OpenHands__software-agent-sdk.md	
concept__local_ai	Local AI Inference	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept__apple_silicon	Apple Silicon	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept__google_turboquant	Google TurboQuant	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept__claude_code	Claude Code	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept__openhands_v1	OpenHands V1	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/OpenHands__software-agent-sdk.md	
person__nickarchuleta	Nick Archuleta	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/gongxings__kemeng-ai-anime-creation.md	
pipeshub_ai__pipeshub_ai	PipesHub AI - Enterprise Workplace AI Platform	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/pipeshub-ai__pipeshub-ai.md	
pipeshub_ai__enterprise_search	Enterprise Search	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/pipeshub-ai__pipeshub-ai.md	
pipeshub_ai__workflow_automation	Workflow Automation	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/pipeshub-ai__pipeshub-ai.md	
pipeshub_ai__knowledge_graph	Knowledge Graph (PipesHub)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/pipeshub-ai__pipeshub-ai.md	
pipeshub_ai__langchain	LangChain Integration	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/pipeshub-ai__pipeshub-ai.md	
pipeshub_ai__langgraph	LangGraph Integration	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/pipeshub-ai__pipeshub-ai.md	
datasets__sp500	S&P 500 Index Dataset	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/datasets__s-and-p-500.md	
datasets__sp500_financial_data	Financial Market Data - S&P 500	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/datasets__s-and-p-500.md	
karpathy__nanochat	NanoChat - Minimal ChatGPT Clone by Karpathy	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/karpathy__nanochat.md	
anthropics__claude_quickstarts	Claude Quickstarts - Developer Starter Projects	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__claude-quickstarts.md	
anthropics__claude_quickstarts__customer_support_agent	Customer Support Agent Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__claude-quickstarts.md	
anthropics__claude_quickstarts__financial_data_analyst	Financial Data Analyst Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__claude-quickstarts.md	
